iter	Tweedie:variance_power=1.5
0	10.94351843
1	10.94351402
2	10.94350957
3	10.94350381
4	10.94349808
5	10.94349368
6	10.94348919
7	10.94348346
8	10.94347887
9	10.94347313
10	10.94346738
11	10.94346297
12	10.94345857
13	10.94345284
14	10.94344843
15	10.9434427
16	10.94343698
17	10.94343257
18	10.94342685
19	10.94342244
20	10.94341804
21	10.94341344
22	10.94340901
23	10.9434046
24	10.9434002
25	10.94339579
26	10.94339122
27	10.94338679
28	10.94338225
29	10.94337652
30	10.94337211
31	10.94336771
32	10.94336198
33	10.94335758
34	10.9433531
35	10.94334867
36	10.94334426
37	10.94333986
38	10.94333533
39	10.94332955
40	10.94332515
41	10.94332074
42	10.94331616
43	10.94331176
44	10.94330731
45	10.94330291
46	10.9432985
47	10.94329275
48	10.94328703
49	10.94328262
50	10.94327822
51	10.94327381
52	10.94326941
53	10.943265
54	10.94325924
55	10.94325483
56	10.94324889
57	10.94324293
58	10.94323849
59	10.94323409
60	10.94322958
61	10.94322518
62	10.94321946
63	10.94321505
64	10.94321062
65	10.94320621
66	10.94320173
67	10.94319601
68	10.9431916
69	10.9431872
70	10.94318279
71	10.94317839
72	10.94317398
73	10.94316958
74	10.94316508
75	10.94315936
76	10.94315495
77	10.94315054
78	10.94314606
79	10.94314152
80	10.94313712
81	10.94313139
82	10.94312698
83	10.94312257
84	10.94311812
85	10.94311237
86	10.94310665
87	10.94310224
88	10.9430963
89	10.9430919
90	10.94308599
91	10.94308139
92	10.94307692
93	10.94307244
94	10.9430667
95	10.94306228
96	10.94305786
97	10.94305345
98	10.94304905
99	10.9430446
100	10.94304019
101	10.94303579
102	10.94303138
103	10.94302545
104	10.94302095
105	10.94301523
106	10.94301077
107	10.94300637
108	10.94300196
109	10.94299755
110	10.94299315
111	10.94298874
112	10.94298434
113	10.94297862
114	10.94297417
115	10.94296966
116	10.94296378
117	10.94295788
118	10.94295216
119	10.94294643
120	10.94294203
121	10.94293757
122	10.94293314
123	10.94292737
124	10.94292297
125	10.94291725
126	10.94291153
127	10.94290683
128	10.94290243
129	10.9428967
130	10.94289096
131	10.94288514
132	10.94288074
133	10.94287502
134	10.94286928
135	10.94286487
136	10.94286047
137	10.94285606
138	10.94285166
139	10.94284713
140	10.9428414
141	10.942837
142	10.94283255
143	10.94282815
144	10.94282374
145	10.94281934
146	10.94281358
147	10.94280917
148	10.94280477
149	10.94279905
150	10.94279331
151	10.94278869
152	10.94278297
153	10.94277856
154	10.94277409
155	10.94276968
156	10.94276393
157	10.9427595
158	10.94275505
159	10.94274932
160	10.9427449
161	10.9427405
162	10.94273478
163	10.94273037
164	10.94272597
165	10.94272156
166	10.94271716
167	10.94271276
168	10.94270835
169	10.94270263
170	10.94269682
171	10.94269241
172	10.94268801
173	10.9426836
174	10.9426792
175	10.94267477
176	10.94267037
177	10.94266596
178	10.94266011
179	10.9426557
180	10.94264995
181	10.94264468
182	10.94264027
183	10.94263585
184	10.94263144
185	10.94262549
186	10.94261973
187	10.94261532
188	10.94261092
189	10.94260651
190	10.9426021
191	10.9425977
192	10.94259323
193	10.94258882
194	10.94258423
195	10.94257982
196	10.94257542
197	10.94256968
198	10.94256528
199	10.94256087
200	10.94255647
201	10.94255207
202	10.94254766
203	10.94254324
204	10.94253744
205	10.94253302
206	10.94252719
207	10.94252144
208	10.94251704
209	10.94251132
210	10.94250611
211	10.94250038
212	10.94249466
213	10.94249026
214	10.94248577
215	10.94248136
216	10.94247691
217	10.94247251
218	10.9424681
219	10.94246238
220	10.94245797
221	10.94245356
222	10.94244758
223	10.94244314
224	10.94243874
225	10.94243434
226	10.94242861
227	10.9424242
228	10.94241973
229	10.94241532
230	10.94241089
231	10.94240516
232	10.94240075
233	10.94239635
234	10.94239194
235	10.94238748
236	10.94238308
237	10.94237865
238	10.94237404
239	10.94236963
240	10.94236391
241	10.94235944
242	10.94235504
243	10.94235063
244	10.94234486
245	10.94234045
246	10.94233604
247	10.94233164
248	10.9423259
249	10.94232149
250	10.94231555
251	10.94230955
252	10.94230515
253	10.94229932
254	10.94229418
255	10.94228977
256	10.94228537
257	10.94228084
258	10.94227636
259	10.94227196
260	10.94226756
261	10.94226315
262	10.9422574
263	10.94225163
264	10.94224645
265	10.94224069
266	10.94223629
267	10.94223055
268	10.94222483
269	10.94221908
270	10.94221336
271	10.94220896
272	10.94220368
273	10.94219773
274	10.94219333
275	10.94218888
276	10.94218447
277	10.94218007
278	10.94217561
279	10.94216985
280	10.94216407
281	10.94215966
282	10.94215526
283	10.94214931
284	10.94214486
285	10.94214046
286	10.94213474
287	10.94212895
288	10.94212451
289	10.94211879
290	10.94211302
291	10.94210862
292	10.94210421
293	10.94209981
294	10.94209541
295	10.942091
296	10.94208654
297	10.94208213
298	10.94207773
299	10.94207201
300	10.94206676
301	10.94206099
302	10.94205659
303	10.94205085
304	10.94204513
305	10.94204073
306	10.94203626
307	10.94203054
308	10.94202613
309	10.94202041
310	10.94201601
311	10.94201161
312	10.94200645
313	10.94200199
314	10.94199627
315	10.94199187
316	10.94198747
317	10.94198158
318	10.94197717
319	10.94197145
320	10.94196705
321	10.94196265
322	10.94195824
323	10.94195384
324	10.94194944
325	10.94194503
326	10.94194063
327	10.94193603
328	10.94193031
329	10.94192591
330	10.9419214
331	10.94191699
332	10.94191126
333	10.94190548
334	10.94190108
335	10.94189663
336	10.94189223
337	10.94188651
338	10.94188079
339	10.94187639
340	10.94187198
341	10.94186758
342	10.94186318
343	10.94185746
344	10.94185305
345	10.94184865
346	10.94184293
347	10.94183853
348	10.94183389
349	10.94182817
350	10.94182377
351	10.94181937
352	10.94181325
353	10.94180885
354	10.9418031
355	10.94179862
356	10.9417929
357	10.94178831
358	10.94178259
359	10.94177811
360	10.9417737
361	10.9417693
362	10.94176487
363	10.94176047
364	10.94175539
365	10.94175098
366	10.94174658
367	10.94174065
368	10.94173625
369	10.94173184
370	10.9417274
371	10.94172165
372	10.94171724
373	10.94171282
374	10.94170841
375	10.94170401
376	10.94169961
377	10.94169389
378	10.94168817
379	10.94168377
380	10.94167936
381	10.94167496
382	10.94166915
383	10.94166474
384	10.94166034
385	10.94165459
386	10.94164887
387	10.94164447
388	10.94164001
389	10.94163561
390	10.9416312
391	10.9416268
392	10.94162239
393	10.94161795
394	10.94161355
395	10.94160904
396	10.94160464
397	10.94160023
398	10.9415958
399	10.94159134
400	10.94158693
401	10.94158174
402	10.94157596
403	10.94157024
404	10.94156432
405	10.94155992
406	10.94155538
407	10.94155097
408	10.94154657
409	10.94154217
410	10.94153623
411	10.94153176
412	10.94152602
413	10.94152161
414	10.94151584
415	10.94151141
416	10.94150701
417	10.94150112
418	10.94149671
419	10.94149099
420	10.94148659
421	10.94148219
422	10.94147778
423	10.94147327
424	10.94146755
425	10.94146315
426	10.94145874
427	10.94145427
428	10.94144987
429	10.94144414
430	10.94143967
431	10.94143387
432	10.94142947
433	10.94142506
434	10.94142046
435	10.94141474
436	10.94141034
437	10.94140594
438	10.94140154
439	10.94139647
440	10.94139207
441	10.94138763
442	10.94138323
443	10.94137882
444	10.94137441
445	10.94136924
446	10.94136349
447	10.94135909
448	10.94135469
449	10.94135028
450	10.94134588
451	10.94134144
452	10.94133704
453	10.94133131
454	10.94132679
455	10.94132107
456	10.9413166
457	10.94131204
458	10.94130632
459	10.94130191
460	10.94129751
461	10.94129311
462	10.94128863
463	10.94128423
464	10.94127901
465	10.94127302
466	10.94126862
467	10.94126421
468	10.94125981
469	10.94125541
470	10.94125101
471	10.9412466
472	10.94124088
473	10.94123647
474	10.94123197
475	10.94122756
476	10.94122316
477	10.94121744
478	10.94121304
479	10.94120799
480	10.9412035
481	10.94119909
482	10.94119469
483	10.94119022
484	10.94118505
485	10.94117933
486	10.94117361
487	10.94116918
488	10.94116478
489	10.94116038
490	10.94115598
491	10.94115157
492	10.9411471
493	10.94114138
494	10.94113564
495	10.94113124
496	10.94112684
497	10.94112238
498	10.94111798
499	10.94111358
500	10.94110904
501	10.94110459
502	10.9411
503	10.9410956
504	10.94108979
505	10.94108468
506	10.94107896
507	10.9410745
508	10.9410701
509	10.9410657
510	10.94105996
511	10.94105556
512	10.94104984
513	10.94104544
514	10.94103972
515	10.94103532
516	10.94103092
517	10.94102517
518	10.94101942
519	10.94101368
520	10.94100928
521	10.94100349
522	10.94099897
523	10.94099454
524	10.94099014
525	10.94098574
526	10.94097994
527	10.94097548
528	10.94097108
529	10.9409666
530	10.94096203
531	10.94095763
532	10.94095316
533	10.94094742
534	10.94094239
535	10.94093799
536	10.94093226
537	10.94092654
538	10.94092214
539	10.94091639
540	10.94091119
541	10.94090613
542	10.94090173
543	10.94089599
544	10.94089158
545	10.94088717
546	10.94088145
547	10.94087632
548	10.94087192
549	10.9408662
550	10.9408618
551	10.94085609
552	10.94085168
553	10.94084591
554	10.94084151
555	10.94083579
556	10.94083006
557	10.94082566
558	10.94082121
559	10.94081681
560	10.94081241
561	10.94080796
562	10.94080353
563	10.94079913
564	10.9407934
565	10.94078895
566	10.9407832
567	10.9407788
568	10.94077306
569	10.94076866
570	10.94076426
571	10.94075986
572	10.9407554
573	10.94074962
574	10.94074521
575	10.94074081
576	10.94073509
577	10.94072936
578	10.94072495
579	10.94072051
580	10.94071611
581	10.94071079
582	10.94070638
583	10.94070131
584	10.9406969
585	10.9406925
586	10.9406881
587	10.94068369
588	10.94067922
589	10.94067482
590	10.94067041
591	10.94066601
592	10.94066161
593	10.94065718
594	10.94065278
595	10.94064838
